"Marca temporal","Doy mi consentimiento para que los datos recogidos en el estudio sean utilizados únicamente con fines estadísticos y con total anonimato.","Sexo","Edad","¿De qué provincia/ciudad autónoma de España eres? Última opción FUERA DE ESPAÑA","Nivel de estudios alcanzados si eres estudiante marca los que estés cursando actualmente","Nivel socioeconómico","Estado civil","Vivo con...","¿Qué marcas de succionadores de clítoris conoces? ","¿Has comprado alguna vez un succionador de clítoris?","En el caso de SÍ haberlo comprado, ¿con qué fin?","La masturbación es algo positivo","Creo que el hecho de que esté normalizado en la sociedad facilita la compra del succionador de clítoris ","Los succionadores de clítoris contribuyen a mi salud sexual","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","Pienso que los succionadores de clítoris introducen nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Antes de comprarlo tuve en cuenta las recomendaciones de mis amigas/gente cercana","Pienso que el succionador de clítoris me aporta sensaciones que no puedo proporcionarme por mí misma ","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Pienso que la gente me va a juzgar si se enteran de que uso el succionador de clítoris","Me afectaría si la gente me juzgara porque tengo un succionador de clítoris","Creo que el succionador de clítoris tiene un precio adecuado para el servicio que me ofrece","Entiendo y respeto puntos de vista que no son iguales que los míos.","Este producto está destinado exclusivamente a personas solteras","Pienso que usar este tipo de productos puede afectar a la hora de alcanzar el placer en mis relaciones futuras","El succionador de clítoris facilita que ambos miembros de la pareja disfruten de la relación sexual","El succionador de clítoris me ayuda a disfrutar de mi sexualidad","Un succionador de clítoris puede ayudar a romper la monotonía en una relación a distancia","Los succionadores de clítoris ayudan a introducir nuevas prácticas sexuales dentro de la pareja","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Aproveché una oferta Black Friday, navidades, precio rebajado... para comprarme mi succionador de clítoris","Puede ser una manera de mantener relaciones con mi pareja a distancia","Tuve en cuenta la opinión de expertos, sexologos, dependientes de sex shops, doctores... a la hora de comprarlo","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris","¿Te has planteado alguna vez comprar un succionador de clítoris? Uso personal, regalo...","La masturbación es algo positivo","Creo que los succionadores de clítoris ayudan a dar un mayor protagonismo a la mujer en las relaciones sexuales en pareja ","Pienso que los succionadores de clítoris podrían introducir nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Si me compro el succionador de clítoris creo que la gente me va a juzgar","Me afectaría si la gente me juzgara por comprarme un succionador de clítoris","Este producto está destinado exclusivamente a personas solteras","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Puede ser una manera de mantener relaciones con la pareja a distancia","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","Entiendo y respeto puntos de vista que no son iguales que los míos.","No me lo compraría a no ser que alguien me lo recomendara","Me plantearía comprar el producto si me lo recomendase mi influencer de confianza","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris"
"2021/03/14 1:32:27 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo","Sí","Uso personal","4","3","3","3","4","4","3","2","3","2","2","3","3","1","3","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 1:38:02 p. m. EET","Sí","Mujer","18-24","Jaén","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Womanizer;Lelo","Sí","Ambas opciones","4","4","4","4","4","4","2","2","3","1","1","3","4","1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 1:43:34 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Bajo / Medio-bajo","Soltero/a","Familia","Satisyer;Lelo","Sí","Uso personal","4","4","4","3","4","4","4","2","4","2","1","3","2","1","2","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 1:45:13 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Platanomelón ","Sí","Uso personal","4","4","4","4","4","4","4","2","4","1","1","3","4","1","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 1:48:30 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","3","3","1","4","1","3","2","3","3","3","2","1","De 21 a 25€","Menos de 15€"
"2021/03/14 1:48:40 p. m. EET","Sí","Mujer","18-24","Alicante","Posgrado","Medio","Soltero/a","Familia","No me se marcas la vd","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","4","4","4","4","1","1","1","4","4","3","3","4","1","2","De 21 a 25€","Menos de 15€"
"2021/03/14 1:49:09 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Bajo / Medio-bajo","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","3","4","4","4","1","2","4","1","1","3","4","1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 1:56:18 p. m. EET","Sí","Mujer","18-24","Granada","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lelo","Sí","Uso personal","4","4","4","4","4","3","2","3","3","3","2","2","4","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 1:56:32 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer;Lelo;Mambo ","Sí","Uso personal","4","4","4","3","4","4","4","4","4","1","2","3","3","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 1:57:00 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Alto / Medio-alto","Soltero/a","Familia","Satisyer;Lelo","Sí","Regalo","4","3","3","4","4","4","4","4","4","2","2","2","4","1","3","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:00:22 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Alto / Medio-alto","Con pareja","Familia","Satisyer;Lelo","Sí","Uso personal","4","4","4","4","4","4","4","2","3","2","1","4","4","1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
